,price
1,270.0
3,161.0
4,222.0
5,308.0
6,219.0
8,120.0
18,79.0
21,400.0
23,151.0
24,99.0
27,410.0
29,201.0
30,106.0
36,400.0
37,79.0
39,68.0
40,280.0
44,171.0
45,301.0
46,376.0
49,485.0
56,397.0
58,110.0
60,99.0
63,167.0
66,240.0
69,359.0
70,249.0
71,154.0
72,847.0
74,161.0
75,205.0
79,239.0
80,51.0
81,150.0
82,324.0
84,291.0
86,120.0
87,376.0
88,68.0
89,301.0
91,51.0
92,85.0
93,120.0
96,243.0
100,133.0
102,683.0
103,199.0
104,171.0
106,240.0
108,116.0
110,143.0
111,140.0
115,150.0
116,171.0
120,201.0
124,99.0
125,393.0
126,143.0
130,161.0
131,167.0
134,130.0
135,201.0
136,342.0
137,249.0
140,120.0
142,348.0
143,120.0
146,133.0
148,82.0
149,844.0
150,201.0
151,201.0
152,615.0
156,51.0
160,301.0
161,208.0
163,92.0
168,120.0
169,113.0
171,700.0
172,301.0
173,168.0
174,79.0
175,99.0
177,683.0
179,171.0
181,120.0
182,175.0
185,249.0
186,208.0
189,219.0
190,140.0
192,150.0
195,201.0
197,68.0
198,130.0
199,181.0
200,150.0
201,205.0
203,120.0
205,126.0
208,96.0
209,178.0
210,68.0
211,229.0
213,499.0
214,181.0
216,427.0
217,195.0
218,89.0
220,178.0
221,137.0
222,188.0
225,1199.0
227,249.0
230,500.0
231,410.0
232,195.0
233,143.0
234,181.0
238,126.0
239,342.0
240,123.0
241,256.0
242,311.0
247,342.0
248,410.0
251,526.0
253,229.0
254,222.0
256,154.0
259,232.0
264,451.0
265,161.0
266,256.0
270,195.0
271,342.0
273,199.0
274,188.0
276,150.0
278,99.0
280,256.0
281,140.0
282,181.0
283,512.0
284,198.0
285,512.0
286,201.0
287,249.0
288,219.0
289,65.0
290,598.0
291,202.0
292,134.0
293,359.0
300,205.0
301,1195.0
304,31.0
305,205.0
307,273.0
310,222.0
312,161.0
313,130.0
314,154.0
317,342.0
323,208.0
324,239.0
325,854.0
326,222.0
327,137.0
329,126.0
330,154.0
335,253.0
336,201.0
337,225.0
338,239.0
340,649.0
342,201.0
343,683.0
344,683.0
345,150.0
346,201.0
347,89.0
348,79.0
349,89.0
352,89.0
353,232.0
354,201.0
358,208.0
359,188.0
363,271.0
364,249.0
365,301.0
366,137.0
367,164.0
369,89.0
371,102.0
372,102.0
373,294.0
374,151.0
377,563.0
378,201.0
382,499.0
383,683.0
384,304.0
385,454.0
386,150.0
387,150.0
390,215.0
